date,stock_id,buy,name,sell,net
2026-03-26,2357,0,Foreign_Dealer_Self,0,0.0
2026-03-26,2357,1000,Investment_Trust,4612,-3612.0
2026-03-26,2357,30000,Dealer_self,330,29670.0
2026-03-26,1531,11000,Foreign_Investor,8000,3000.0
2026-03-26,2354,871399,Foreign_Investor,526115,345284.0
2026-03-26,1718,198000,Dealer_self,10862,187138.0
2026-03-26,2357,85678,Dealer_Hedging,11510,74168.0
2026-03-26,2363,494000,Foreign_Investor,626000,-132000.0
2026-03-26,2363,0,Foreign_Dealer_Self,0,0.0
2026-03-26,2363,0,Investment_Trust,23,-23.0
2026-03-26,2363,5506,Dealer_self,688,4818.0
2026-03-26,2061,0,Foreign_Dealer_Self,0,0.0
2026-03-26,2061,31000,Foreign_Investor,5000,26000.0
2026-03-26,2059,94430,Investment_Trust,0,94430.0
2026-03-26,1528,9002,Dealer_self,13461,-4459.0
2026-03-26,1215,0,Dealer_Hedging,0,0.0
2026-03-26,1216,4102470,Foreign_Investor,2022000,2080470.0
2026-03-26,2061,0,Dealer_self,0,0.0
2026-03-26,2061,0,Investment_Trust,0,0.0
2026-03-26,1605,0,Foreign_Dealer_Self,0,0.0
2026-03-26,1583,0,Investment_Trust,0,0.0
2026-03-26,2351,0,Foreign_Dealer_Self,0,0.0
2026-03-26,5483,3209824,Foreign_Investor,1181193,2028631.0
2026-03-26,4121,0,Foreign_Dealer_Self,0,0.0
2026-03-26,4121,0,Dealer_self,0,0.0
2026-03-26,4123,323100,Foreign_Investor,667000,-343900.0
2026-03-26,4121,0,Dealer_Hedging,0,0.0
2026-03-26,3014,0,Dealer_Hedging,0,0.0
2026-03-26,3014,1000,Dealer_self,76,924.0
2026-03-26,3014,1000,Investment_Trust,2531,-1531.0
2026-03-26,3014,0,Foreign_Dealer_Self,0,0.0
2026-03-26,3014,123000,Foreign_Investor,108002,14998.0
2026-03-26,4175,0,Foreign_Investor,2000,-2000.0
2026-03-26,4175,0,Investment_Trust,0,0.0
2026-03-26,3706,13000,Dealer_self,6000,7000.0
2026-03-26,2892,47774,Dealer_Hedging,0,47774.0
2026-03-26,5347,358825,Dealer_Hedging,289802,69023.0
2026-03-26,5371,520000,Foreign_Investor,902000,-382000.0
2026-03-26,5371,0,Foreign_Dealer_Self,0,0.0
2026-03-26,5371,0,Investment_Trust,3475,-3475.0
2026-03-26,5371,5000,Dealer_self,8002,-3002.0
2026-03-26,5371,40913,Dealer_Hedging,55122,-14209.0
2026-03-26,2892,85000,Dealer_self,10454,74546.0
2026-03-26,5347,0,Investment_Trust,21000,-21000.0
2026-03-26,2892,0,Investment_Trust,0,0.0
2026-03-26,2892,0,Foreign_Dealer_Self,0,0.0
2026-03-26,2892,13214998,Foreign_Investor,8261366,4953632.0
2026-03-26,5483,0,Foreign_Dealer_Self,0,0.0
2026-03-26,4119,37,Dealer_Hedging,0,37.0
2026-03-26,4119,1000,Dealer_self,0,1000.0
2026-03-26,4119,0,Investment_Trust,0,0.0
2026-03-26,4119,0,Foreign_Dealer_Self,0,0.0
2026-03-26,3711,144000,Dealer_self,52000,92000.0
2026-03-26,3711,223746,Dealer_Hedging,121736,102010.0
2026-03-26,4116,0,Investment_Trust,0,0.0
2026-03-26,4116,0,Dealer_Hedging,0,0.0
2026-03-26,4128,2000,Dealer_self,12000,-10000.0
2026-03-26,3013,12126,Dealer_Hedging,19655,-7529.0
2026-03-26,4123,7000,Dealer_Hedging,1031,5969.0
2026-03-26,4126,2000,Foreign_Investor,64000,-62000.0
2026-03-26,4126,0,Foreign_Dealer_Self,0,0.0
2026-03-26,4126,0,Investment_Trust,0,0.0
2026-03-26,4126,0,Dealer_self,0,0.0
2026-03-26,4126,0,Dealer_Hedging,0,0.0
2026-03-26,3013,5000,Dealer_self,0,5000.0
2026-03-26,4123,0,Investment_Trust,0,0.0
2026-03-26,3013,0,Investment_Trust,0,0.0
2026-03-26,3013,0,Foreign_Dealer_Self,0,0.0
2026-03-26,3013,193000,Foreign_Investor,388000,-195000.0
2026-03-26,4128,125000,Foreign_Investor,290000,-165000.0
2026-03-26,4128,0,Foreign_Dealer_Self,0,0.0
2026-03-26,4128,0,Investment_Trust,0,0.0
2026-03-26,4123,85000,Dealer_self,21554,63446.0
2026-03-26,4123,0,Foreign_Dealer_Self,0,0.0
2026-03-26,4119,20516,Foreign_Investor,18000,2516.0
2026-03-26,4121,0,Investment_Trust,0,0.0
2026-03-26,3711,64000,Investment_Trust,378356,-314356.0
2026-03-26,3017,0,Foreign_Dealer_Self,0,0.0
2026-03-26,3711,0,Foreign_Dealer_Self,0,0.0
2026-03-26,3017,4499333,Foreign_Investor,3010743,1488590.0
2026-03-26,5483,0,Investment_Trust,18676,-18676.0
2026-03-26,2890,0,Foreign_Dealer_Self,0,0.0
2026-03-26,5522,917000,Foreign_Investor,588000,329000.0
2026-03-26,5522,0,Foreign_Dealer_Self,0,0.0
2026-03-26,5522,0,Investment_Trust,0,0.0
2026-03-26,5522,7000,Dealer_self,37000,-30000.0
2026-03-26,5519,0,Dealer_Hedging,0,0.0
2026-03-26,5519,0,Investment_Trust,0,0.0
2026-03-26,5512,0,Foreign_Dealer_Self,0,0.0
2026-03-26,5515,0,Dealer_self,290,-290.0
2026-03-26,5512,0,Investment_Trust,0,0.0
2026-03-26,5512,0,Dealer_self,0,0.0
2026-03-26,5512,0,Dealer_Hedging,0,0.0
2026-03-26,5515,263000,Foreign_Investor,256000,7000.0
2026-03-26,5515,0,Foreign_Dealer_Self,0,0.0
2026-03-26,5515,0,Investment_Trust,0,0.0
2026-03-26,5515,0,Dealer_Hedging,0,0.0
2026-03-26,5519,0,Foreign_Dealer_Self,0,0.0
2026-03-26,2891,15496958,Foreign_Investor,15254989,241969.0
2026-03-26,2891,109283,Dealer_Hedging,181640,-72357.0
2026-03-26,2891,112000,Dealer_self,50000,62000.0
2026-03-26,2891,2936000,Investment_Trust,104309,2831691.0
2026-03-26,2891,0,Foreign_Dealer_Self,0,0.0
2026-03-26,5519,139000,Foreign_Investor,149000,-10000.0
2026-03-26,5269,182836,Foreign_Investor,119365,63471.0
2026-03-26,2890,33000,Investment_Trust,14000,19000.0
2026-03-26,5347,618000,Dealer_self,103000,515000.0
2026-03-26,2890,83000,Dealer_self,1366,81634.0
