date,stock_id,HoldingSharesLevel,people,percent,unit
2026-04-30,3037,"20,001-30,000",691,1.05,16716877
2026-04-30,3354,"50,001-100,000",25,2.64,1853304
2026-04-30,3041,"40,001-50,000",61,2.0,2815088
2026-04-30,3354,"40,001-50,000",10,0.64,451433
2026-04-30,3356,"100,001-200,000",43,7.53,6026441
2026-04-30,3356,"20,001-30,000",137,4.14,3316927
2026-04-30,3040,"100,001-200,000",15,3.31,2198079
2026-04-30,3356,"15,001-20,000",192,4.29,3429917
2026-04-30,3356,"10,001-15,000",336,5.23,4187215
2026-04-30,3356,"5,001-10,000",1114,10.45,8354612
2026-04-30,3356,"1,000-5,000",7261,19.1,15272557
2026-04-30,3356,1-999,27655,2.43,1942606
2026-04-30,3040,1-999,5151,0.86,575687
2026-04-30,3040,"1,000-5,000",2282,6.62,4390338
2026-04-30,3040,"5,001-10,000",264,3.08,2042010
2026-04-30,3040,"10,001-15,000",80,1.5,998566
2026-04-30,3040,"15,001-20,000",52,1.47,975827
2026-04-30,3040,"20,001-30,000",60,2.32,1539795
2026-04-30,3040,"30,001-40,000",24,1.26,836997
2026-04-30,3040,"40,001-50,000",21,1.38,917830
2026-04-30,3040,"50,001-100,000",31,3.24,2146114
2026-04-30,3702,total,89060,100.0,1682278898
2026-04-30,3702,"800,001-1,000,000",25,1.34,22569571
2026-04-30,4807,差異數調整（說明4）,0,0.0,0
2026-04-30,3665,"800,001-1,000,000",11,5.06,9885212
2026-04-30,3665,"40,001-50,000",59,1.34,2630115
2026-04-30,3665,"50,001-100,000",142,5.18,10118394
2026-04-30,3665,"100,001-200,000",113,8.0,15607716
2026-04-30,3665,"200,001-400,000",69,9.89,19306860
2026-04-30,3665,"400,001-600,000",33,7.96,15547340
2026-04-30,3665,"600,001-800,000",12,4.23,8264678
2026-04-30,3356,"600,001-800,000",4,3.39,2710088
2026-04-30,3665,total,27940,100.0,195078405
2026-04-30,3354,"100,001-200,000",10,2.21,1550376
2026-04-30,3356,"800,001-1,000,000",2,2.12,1697083
2026-04-30,3596,"400,001-600,000",22,4.85,10698477
2026-04-30,3041,"20,001-30,000",281,5.18,7271945
2026-04-30,3041,"30,001-40,000",119,2.98,4188552
2026-04-30,3354,"20,001-30,000",54,2.01,1413462
2026-04-30,3040,"400,001-600,000",7,5.1,3381041
2026-04-30,3354,"15,001-20,000",60,1.62,1142526
2026-04-30,3354,"10,001-15,000",72,1.32,929003
2026-04-30,3354,"5,001-10,000",340,4.0,2808500
2026-04-30,3354,"1,000-5,000",3573,9.73,6826654
2026-04-30,3354,1-999,3046,0.67,475382
2026-04-30,3041,1-999,50958,4.63,6504023
2026-04-30,3041,"1,000-5,000",15716,22.72,31867696
2026-04-30,3041,"5,001-10,000",2220,11.68,16390518
2026-04-30,3041,"10,001-15,000",634,5.67,7959681
2026-04-30,3714,"200,001-400,000",115,4.36,32244000
2026-04-30,3041,"15,001-20,000",357,4.62,6492086
2026-04-30,3041,"50,001-100,000",131,6.54,9177116
2026-04-30,3356,"200,001-400,000",16,5.41,4331723
2026-04-30,3356,"40,001-50,000",44,2.5,2003816
2026-04-30,3040,"600,001-800,000",0,0.0,0
2026-04-30,3040,"200,001-400,000",11,4.43,2939438
2026-04-30,3357,"15,001-20,000",80,1.3,1502050
2026-04-30,3356,"30,001-40,000",78,3.36,2693793
2026-04-30,3357,"10,001-15,000",147,1.66,1915158
2026-04-30,3357,"5,001-10,000",555,3.8,4369084
2026-04-30,3357,"1,000-5,000",7503,11.17,12845483
2026-04-30,3357,1-999,4595,0.61,711843
2026-04-30,3356,差異數調整（說明4）,0,0.0,0
2026-04-30,3356,total,36971,100.0,79941672
2026-04-30,3356,"more than 1,000,001",5,20.21,16159728
2026-04-30,3714,"600,001-800,000",11,1.02,7572000
2026-04-30,3714,"100,001-200,000",278,5.33,39363565
2026-04-30,3597,"1,000-5,000",1327,6.89,2703578
2026-04-30,3714,"400,001-600,000",42,2.72,20080727
2026-04-30,3580,"1,000-5,000",6343,28.91,11413880
2026-04-30,3580,"5,001-10,000",447,8.99,3551708
2026-04-30,3577,差異數調整（說明4）,0,0.0,0
2026-04-30,3706,"800,001-1,000,000",9,0.62,8247529
2026-04-30,3581,1-999,1534,0.38,194899
2026-04-30,3706,"5,001-10,000",14084,7.86,104386323
2026-04-30,3706,"10,001-15,000",4421,4.09,54363733
2026-04-30,3706,"15,001-20,000",2250,3.04,40397859
2026-04-30,3706,"20,001-30,000",1911,3.58,47645131
2026-04-30,3706,"30,001-40,000",824,2.18,29011587
2026-04-30,3706,"40,001-50,000",501,1.73,23014467
2026-04-30,3706,"50,001-100,000",791,4.14,54984119
2026-04-30,3706,"100,001-200,000",295,3.13,41674182
2026-04-30,3706,"200,001-400,000",111,2.28,30337638
2026-04-30,3706,"400,001-600,000",38,1.43,19088034
2026-04-30,3706,"600,001-800,000",16,0.81,10791892
2026-04-30,3706,"more than 1,000,001",70,49.23,653438954
2026-04-30,3580,"15,001-20,000",77,3.6,1422001
2026-04-30,3706,total,202303,100.0,1327212468
2026-04-30,3706,差異數調整（說明4）,0,0.0,0
2026-04-30,3580,差異數調整（說明4）,0,0.0,0
2026-04-30,3580,total,41355,100.0,39470657
2026-04-30,3580,"more than 1,000,001",3,9.92,3918558
2026-04-30,3580,"800,001-1,000,000",0,0.0,0
2026-04-30,3580,"600,001-800,000",1,1.65,653000
2026-04-30,3580,"400,001-600,000",3,3.55,1403916
2026-04-30,3580,"200,001-400,000",15,11.6,4581228
2026-04-30,3580,"100,001-200,000",23,8.16,3221672
2026-04-30,3580,"50,001-100,000",42,7.74,3056000
2026-04-30,3707,"400,001-600,000",12,1.45,5758284
2026-04-30,3707,total,80656,100.0,396581631
2026-04-30,3577,"15,001-20,000",45,1.29,827070
2026-04-30,3577,"20,001-30,000",57,2.25,1439955
2026-04-30,3594,"10,001-15,000",155,2.03,1953094
2026-04-30,3360,"15,001-20,000",180,4.35,3330803
2026-04-30,3707,"more than 1,000,001",26,43.85,173902362
2026-04-30,3038,"100,001-200,000",63,5.62,8853085
2026-04-30,3707,差異數調整（說明4）,0,0.0,0
2026-04-30,3707,"50,001-100,000",232,4.07,16145209
2026-04-30,3707,"40,001-50,000",148,1.74,6906569
2026-04-30,3707,"20,001-30,000",603,3.8,15084401
2026-04-30,3577,"5,001-10,000",222,2.65,1700666
2026-04-30,3707,"15,001-20,000",712,3.27,12983845
2026-04-30,3707,"10,001-15,000",1324,4.23,16804683
2026-04-30,3707,"5,001-10,000",4406,8.45,33528370
2026-04-30,3707,"1,000-5,000",39885,19.32,76651019
2026-04-30,3707,1-999,32945,0.71,2843664
2026-04-30,3580,"40,001-50,000",22,2.51,992988
2026-04-30,3580,1-999,34134,1.17,465602
2026-04-30,3580,"20,001-30,000",74,4.79,1893858
2026-04-30,3577,"1,000-5,000",1496,4.53,2898477
2026-04-30,3609,"5,001-10,000",173,3.59,1382777
2026-04-30,3577,total,3163,100.0,63965653
2026-04-30,3609,1-999,6062,0.1,40654
2026-04-30,3577,"more than 1,000,001",10,50.1,32048151
2026-04-30,3577,"800,001-1,000,000",8,11.16,7140549
2026-04-30,3577,"600,001-800,000",3,3.14,2011253
2026-04-30,3577,"400,001-600,000",6,4.6,2948038
2026-04-30,3577,"200,001-400,000",13,5.08,3251455
2026-04-30,3577,"100,001-200,000",27,5.47,3503068
2026-04-30,3577,"50,001-100,000",43,4.82,3088716
2026-04-30,3577,"40,001-50,000",22,1.56,1001592
2026-04-30,3577,"30,001-40,000",27,1.52,977461
2026-04-30,3707,"800,001-1,000,000",5,1.14,4557797
2026-04-30,3594,"20,001-30,000",105,2.84,2727792
2026-04-30,3580,"30,001-40,000",28,2.56,1014282
2026-04-30,3707,"30,001-40,000",231,2.05,8133153
2026-04-30,3607,差異數調整（說明4）,0,0.0,0
2026-04-30,3609,"15,001-20,000",47,2.3,886000
2026-04-30,3711,"more than 1,000,001",433,83.25,3722083032
2026-04-30,3607,total,46143,100.0,121662239
2026-04-30,3607,"more than 1,000,001",14,21.43,26074253
2026-04-30,3607,"800,001-1,000,000",7,5.08,6188927
2026-04-30,3607,"600,001-800,000",7,3.94,4802170
2026-04-30,3607,"400,001-600,000",9,3.68,4483824
2026-04-30,3607,"200,001-400,000",42,9.72,11825627
2026-04-30,3607,"100,001-200,000",68,8.06,9811886
2026-04-30,3607,"50,001-100,000",175,10.59,12892414
2026-04-30,3607,"40,001-50,000",85,3.26,3971824
2026-04-30,3607,"30,001-40,000",126,3.71,4524048
2026-04-30,3607,"20,001-30,000",224,4.74,5778156
