stock_id,price,pe,eps_ttm,gross_margin,market_cap,updated,revenue_ttm
2028,16.65,59.464283,0.28,3.95,5394966528.0,2026-05-28,8513536000.0
2029,20.3,27.43243,0.74,10.3,6519953920.0,2026-05-28,13270890496.0
2030,17.75,50.714287,0.35,9.35,4898396672.0,2026-05-28,10149308416.0
2031,38.7,11.79878,3.28,10.52,12428349440.0,2026-05-28,16346322944.0
2032,17.8,31.785713,0.56,6.0,2323291392.0,2026-05-28,3056966912.0
2033,15.25,43.57143,0.35,14.22,1230591616.0,2026-05-28,698318016.0
2034,20.1,100.5,0.2,6.98,10632811520.0,2026-05-28,11743978496.0
2035,28.25,,-4.72,-8.99,9887500288.0,2026-05-28,9548461056.0
2038,13.65,,-0.56,0.72,2649936640.0,2026-05-28,8340909056.0
2049,321.5,74.59397,4.31,29.32,113744207872,2026-07-15,24803145728.0
2059,8500.0,84.375626,100.74,76.53,810024501248,2026-07-15,18996221952.0
2061,68.0,,-0.97,7.36,3901707520,2026-07-15,1225436032.0
2062,19.2,49.230774,0.39,9.38,3839887616,2026-07-15,6394269184.0
2063,24.15,15.681818,1.54,17.22,1161601792,2026-07-15,938265984.0
2064,13.15,,-1.3,4.08,915634496,2026-07-15,1641817984.0
2065,32.2,29.009008,1.11,14.32,2045238016,2026-07-15,2045593984.0
2066,57.8,43.458645,1.33,30.0,2554154752.0,2026-05-28,2522420992.0
2067,6.6,,-2.8,4.32,297910784.0,2026-05-28,1013150976.0
2069,19.0,11.728395,1.62,9.81,3161353216.0,2026-05-28,9722854400.0
2070,75.9,34.18919,2.22,46.28,3171314688.0,2026-05-28,706150016.0
2072,166.5,13.956412,11.93,30.89,31968000000.0,2026-05-28,11432273920.0
2073,26.0,,-0.39,0.0,715000000.0,2026-05-28,
2101,29.75,29.455446,1.01,30.62,21511311360.0,2026-05-28,11787005952.0
2102,17.9,2.8503184,6.28,20.4,8226374656.0,2026-05-28,265852000.0
2103,22.15,41.018517,0.54,10.0209996,18289475584,2026-06-11,
2104,9.87,,-4.18,-8.35,9573890048.0,2026-05-28,14662111232.0
2105,31.9,21.266666,1.5,23.25,103401152512.0,2026-05-28,91045478400.0
2106,16.65,128.07692,0.13,19.43,15898917888.0,2026-05-28,33853825024.0
2107,24.8,14.850299,1.67,34.15,7529116160.0,2026-05-28,1443584000.0
2108,26.95,32.469883,0.83,23.27,13270638592.0,2026-05-28,9870902272.0
2109,14.1,12.155173,1.16,21.88,3938822656.0,2026-05-28,4455630848.0
2114,91.8,15.9375,5.76,39.81,7159647232.0,2026-05-28,1629959040.0
2115,21.95,13.8924055,1.58,20.66,2290990848.0,2026-05-28,2978758912.0
2201,28.3,30.430107,0.93,32.44,30068041728,2026-07-15,71742382080.0
2204,57.6,10.530165,5.47,15.36,31888508928,2026-07-15,33558358016.0
2206,60.0,10.398614,5.77,20.75,46400589824.0,2026-05-28,62493011968.0
2207,480.0,14.16347,33.89,21.39,267409342464,2026-07-15,280242552832.0
2208,21.5,,-1.77,-4.8,27402596352,2026-07-15,22602221568.0
2211,91.4,10.627907,8.6,27.67,38122119168.0,2026-05-28,15321268224.0
2221,41.3,18.034935,2.29,20.2,1748022528.0,2026-05-28,1410694016.0
2227,48.5,37.307693,1.3,9.47,14549999616.0,2026-05-28,15132072960.0
2228,85.0,16.69941,5.09,22.93,6781300224.0,2026-05-28,4898876928.0
2230,28.25,,-1.05,6.64,1893597440.0,2026-05-28,2025196032.0
2231,104.5,,-1.63,31.23,14204790784.0,2026-05-28,3532471040.0
2233,351.5,52.619762,6.68,30.32,21191262208.0,2026-05-28,3209409024.0
2235,31.95,33.63158,0.95,18.37,1146302080.0,2026-05-28,555889024.0
2236,137.5,,-6.81,10.77,8442775040.0,2026-05-28,9754045440.0
2239,24.5,,-7.87,10.18,2883958528.0,2026-05-28,18613659648.0
2241,40.3,,-0.7,5.15,4215472896,2026-07-15,827644032.0
2243,24.85,20.368853,1.22,16.41,1723799808.0,2026-05-28,2097505024.0
2247,211.5,11.996597,17.63,11.37,17069953024.0,2026-05-28,47251902464.0
2248,54.7,10.301318,5.31,30.73,2603719936.0,2026-05-28,2065319040.0
2250,60.9,15.456853,3.94,16.8,2216029184.0,2026-05-28,3316632064.0
2254,59.5,,-0.84,6.82,3793422592,2026-07-15,325491008.0
2258,32.6,,-2.15,18.02,56842977280,2026-07-15,3212003072.0
2301,216.0,31.952662,6.76,22.66,490126376960,2026-07-15,173075595264.0
2302,35.7,72.85714,0.49,35.16,5937017344.0,2026-05-28,868617024.0
2303,166.0,42.13198,3.94,29.61,2082707996672,2026-07-15,240732143616.0
2305,23.2,116.0,0.2,45.05,4703238656.0,2026-05-28,827769024.0
2308,1890.0,69.793205,27.08,35.5,4909356810240,2026-07-15,595318407168.0
