futures_id,date,institutional_investors,long_deal_volume,long_deal_amount,short_deal_volume,short_deal_amount,long_open_interest_balance_volume,long_open_interest_balance_amount,short_open_interest_balance_volume,short_open_interest_balance_amount,contract
TX,2026-05-06,自營商,8756,72643640,9096,75494228,4524,37615452,5761,47883222,TX
TX,2026-05-06,投信,1178,9779644,289,2389981,49865,414019122,4767,39579448,TX
TX,2026-05-06,外資,70092,580688000,72372,599619962,19078,158453996,70045,581664421,TX
TX,2026-05-07,自營商,6583,55513355,6389,53902733,4645,39406764,5679,48171273,TX
TX,2026-05-07,投信,1433,12142506,354,2999114,50998,431973459,4821,40835798,TX
TX,2026-05-07,外資,64604,543572221,64767,544909031,20333,172289443,71465,605447363,TX
TX,2026-05-08,自營商,8444,70954827,7801,65535257,5377,45168528,5877,49371076,TX
TX,2026-05-08,投信,549,4604985,419,3513197,51381,430891342,5074,42551579,TX
TX,2026-05-08,外資,64846,545320391,67163,564852723,20593,172765288,75123,630134978,TX
TX,2026-05-09,自營商,8444,70954827,7801,65535257,5377,45168528,5877,49371076,TX
TX,2026-05-09,投信,549,4604985,419,3513197,51381,430891342,5074,42551579,TX
TX,2026-05-09,外資,64846,545320391,67163,564852723,20593,172765288,75123,630134978,TX
TX,2026-05-10,自營商,8444,70954827,7801,65535257,5377,45168528,5877,49371076,TX
TX,2026-05-10,投信,549,4604985,419,3513197,51381,430891342,5074,42551579,TX
TX,2026-05-10,外資,64846,545320391,67163,564852723,20593,172765288,75123,630134978,TX
TX,2026-05-11,自營商,5438,45743609,4896,41183583,5626,47313585,5600,47082984,TX
TX,2026-05-11,投信,520,4367448,218,1830719,51653,433565173,5044,42338327,TX
TX,2026-05-11,外資,46985,394945204,46705,392650145,21382,179535628,75607,634767716,TX
TX,2026-05-12,自營商,8548,71856076,8865,74510034,4948,41369630,5332,44553515,TX
TX,2026-05-12,投信,80,673186,1824,15311936,49961,416716905,5096,42504717,TX
TX,2026-05-12,外資,62966,529168915,61813,519482954,22285,185940069,75357,628699206,TX
TX,2026-05-13,自營商,11927,98579030,11091,91737878,6129,50920767,5746,47710547,TX
TX,2026-05-13,投信,123,1020871,401,3325518,49734,412278806,5147,42666571,TX
TX,2026-05-13,外資,78302,646718755,78007,644213294,22098,183257165,74858,620729829,TX
TX,2026-05-14,自營商,9670,80740615,9346,78027359,6419,53564946,5797,48345585,TX
TX,2026-05-14,投信,1326,11094542,2797,23335302,48561,404406643,5445,45341604,TX
TX,2026-05-14,外資,67513,562780979,65840,548898769,22401,186607095,73469,612000443,TX
TX,2026-05-15,自營商,12290,102739650,12411,103790871,6648,54710657,5914,48610832,TX
TX,2026-05-15,投信,4896,40741377,6274,51942482,47469,389429127,5731,46991908,TX
TX,2026-05-15,外資,87746,733441244,87588,732432673,20970,172118736,71933,590386950,TX
TX,2026-05-16,自營商,12290,102739650,12411,103790871,6648,54710657,5914,48610832,TX
TX,2026-05-16,投信,4896,40741377,6274,51942482,47469,389429127,5731,46991908,TX
TX,2026-05-16,外資,87746,733441244,87588,732432673,20970,172118736,71933,590386950,TX
TX,2026-05-17,自營商,12290,102739650,12411,103790871,6648,54710657,5914,48610832,TX
TX,2026-05-17,投信,4896,40741377,6274,51942482,47469,389429127,5731,46991908,TX
TX,2026-05-17,外資,87746,733441244,87588,732432673,20970,172118736,71933,590386950,TX
TX,2026-05-18,自營商,11797,96118100,10988,89628294,7090,58052122,5540,45343642,TX
TX,2026-05-18,投信,21806,178644039,23821,194304505,45517,372292956,5794,47287283,TX
TX,2026-05-18,外資,120641,982858301,114645,934601574,21791,178152482,66787,546286535,TX
TX,2026-05-19,自營商,13756,112006684,12858,104678682,7824,63215213,5212,42114315,TX
TX,2026-05-19,投信,21730,176102534,22811,184378778,44542,359886636,5900,47639720,TX
TX,2026-05-19,外資,107942,878849662,108319,882523148,21448,173101705,66824,539668003,TX
TX,2026-05-20,自營商,14693,118019292,14120,113482405,6772,54396892,4324,34767181,TX
TX,2026-05-20,投信,1575,12639800,1234,9923049,44928,360538214,5945,47707436,TX
TX,2026-05-20,外資,78660,632068411,79463,638454277,18699,150056076,61443,493103122,TX
TX,2026-05-21,自營商,5521,45489026,6728,55367078,5861,48693493,4606,38289923,TX
TX,2026-05-21,投信,2212,18371805,468,3887344,46431,385405159,5718,47462831,TX
TX,2026-05-21,外資,52852,434463553,54577,449007629,17834,148033147,62288,517045783,TX
TX,2026-05-22,自營商,7809,65423778,8158,68471217,5609,47673964,4680,39796544,TX
TX,2026-05-22,投信,1408,11958581,74,625599,47640,404511240,5593,47490163,TX
TX,2026-05-22,外資,63776,533043599,65835,550237973,16747,142199476,63230,536911646,TX
TX,2026-05-23,自營商,7809,65423778,8158,68471217,5609,47673964,4680,39796544,TX
TX,2026-05-23,投信,1408,11958581,74,625599,47640,404511240,5593,47490163,TX
TX,2026-05-23,外資,63776,533043599,65835,550237973,16747,142199476,63230,536911646,TX
TX,2026-05-24,自營商,7809,65423778,8158,68471217,5609,47673964,4680,39796544,TX
TX,2026-05-24,投信,1408,11958581,74,625599,47640,404511240,5593,47490163,TX
TX,2026-05-24,外資,63776,533043599,65835,550237973,16747,142199476,63230,536911646,TX
TX,2026-05-25,自營商,7287,63265355,6488,56373085,6816,59854427,5088,44704823,TX
TX,2026-05-25,投信,1227,10760998,256,2244240,48466,425240684,5448,47800752,TX
TX,2026-05-25,外資,50077,432975709,55015,475944197,16232,142420194,67690,593936349,TX
