date,futures_id,contract_date,open,max,min,close,spread,spread_per,volume,settlement_price,open_interest,trading_session
2026-05-11,MTX,202605,41999.0,42300.0,41669.0,42291.0,360.0,0.86,124094,0.0,0,after_market
2026-05-11,MTX,202606,42102.0,42429.0,41808.0,42422.0,362.0,0.86,4579,0.0,0,after_market
2026-05-11,MTX,202607,42176.0,42462.0,41841.0,42462.0,359.0,0.85,268,0.0,0,after_market
2026-05-11,MTX,202609,42235.0,42608.0,42000.0,42608.0,370.0,0.88,93,0.0,0,after_market
2026-05-11,MTX,202612,42715.0,43026.0,42455.0,43026.0,315.0,0.74,36,0.0,0,after_market
2026-05-11,MTX,202703,43176.0,43610.0,43150.0,43610.0,342.0,0.79,17,0.0,0,after_market
2026-05-11,MTX,202605/202606,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2026-05-11,MTX,202605/202607,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2026-05-11,MTX,202605/202609,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2026-05-11,MTX,202605/202612,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2026-05-11,MTX,202605/202703,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2026-05-11,MTX,202605W2/202605,201.0,222.0,200.0,222.0,0.0,0.0,14,0.0,0,after_market
2026-05-11,MTX,202607/202609,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2026-05-11,MTX,202607/202703,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2026-05-11,MTX,202605W2,42014.0,42014.0,41726.0,41953.0,218.0,0.52,54,41767.0,74,position
2026-05-11,MTX,202605,42216.0,42255.0,41803.0,41953.0,22.0,0.05,110308,41969.0,29778,position
2026-05-11,MTX,202606,42350.0,42378.0,41935.0,42076.0,16.0,0.04,4899,42080.0,6135,position
2026-05-11,MTX,202607,42375.0,42397.0,42000.0,42114.0,11.0,0.03,284,42114.0,785,position
2026-05-11,MTX,202609,42528.0,42530.0,42154.0,42268.0,30.0,0.07,93,42258.0,1997,position
2026-05-11,MTX,202612,42999.0,43026.0,42607.0,42713.0,2.0,0.0,22,42689.0,629,position
2026-05-11,MTX,202703,43600.0,43600.0,43250.0,43268.0,0.0,0.0,38,43282.0,218,position
2026-05-11,MTX,202605/202606,128.0,128.0,121.0,121.0,0.0,0.0,18,0.0,0,position
