futures_id,date,institutional_investors,long_deal_volume,long_deal_amount,short_deal_volume,short_deal_amount,long_open_interest_balance_volume,long_open_interest_balance_amount,short_open_interest_balance_volume,short_open_interest_balance_amount,contract
MTX,2026-05-12,投信,0,0,0,0,113,235628,42,87578,MTX
MTX,2026-05-12,外資,133942,281453372,132138,277641155,4811,10033172,2321,4844994,MTX
MTX,2026-05-13,自營商,20578,42533051,21479,44398221,2412,5021126,7820,16268774,MTX
MTX,2026-05-13,投信,0,0,2,4146,113,234181,44,91186,MTX
MTX,2026-05-13,外資,163299,337086675,162066,334525008,5636,11681653,1821,3779031,MTX
MTX,2026-05-14,自營商,19881,41515797,18747,39133471,2677,5593216,6661,13922101,MTX
MTX,2026-05-14,投信,2,4164,0,0,115,239407,44,91599,MTX
MTX,2026-05-14,外資,136090,283480535,136362,284062181,5453,11353546,1949,4062384,MTX
MTX,2026-05-15,自營商,22532,47201432,23565,49322941,2614,5384114,8252,16995878,MTX
MTX,2026-05-15,投信,20,41244,24,49268,113,231817,46,94295,MTX
MTX,2026-05-15,外資,158178,331126036,157583,329878024,6257,12831040,2051,4211694,MTX
MTX,2026-05-16,自營商,22532,47201432,23565,49322941,2614,5384114,8252,16995878,MTX
MTX,2026-05-16,投信,20,41244,24,49268,113,231817,46,94295,MTX
MTX,2026-05-16,外資,158178,331126036,157583,329878024,6257,12831040,2051,4211694,MTX
MTX,2026-05-17,自營商,22532,47201432,23565,49322941,2614,5384114,8252,16995878,MTX
MTX,2026-05-17,投信,20,41244,24,49268,113,231817,46,94295,MTX
MTX,2026-05-17,外資,158178,331126036,157583,329878024,6257,12831040,2051,4211694,MTX
MTX,2026-05-18,自營商,17546,35757278,18070,36824236,2827,5791812,8975,18396511,MTX
MTX,2026-05-18,投信,61,125151,73,149060,102,208737,47,95873,MTX
MTX,2026-05-18,外資,161116,327864012,161292,328232422,6519,13305276,2396,4896320,MTX
MTX,2026-05-19,自營商,20242,41365332,22194,45338122,3312,6691282,11765,23785683,MTX
MTX,2026-05-19,投信,68,137198,121,244652,104,210051,102,206035,MTX
MTX,2026-05-19,外資,171681,350332119,172685,352410142,4824,9715951,2099,4237074,MTX
MTX,2026-05-20,自營商,25096,50411788,24271,48768970,1737,3502149,10339,20791137,MTX
MTX,2026-05-20,投信,2,4023,4,8023,103,206639,103,206639,MTX
MTX,2026-05-20,外資,163975,329279581,161569,324419205,3109,6237319,3147,6315947,MTX
MTX,2026-05-21,自營商,12278,25216125,11028,22645467,2866,5961213,10281,21371191,MTX
MTX,2026-05-21,投信,7,14534,2,4151,101,209590,96,199214,MTX
MTX,2026-05-21,外資,117843,241772643,114430,234836692,5019,10415092,1585,3290906,MTX
MTX,2026-05-22,自營商,15967,33447167,15390,32208164,3382,7196230,10312,21929282,MTX
MTX,2026-05-22,投信,4,8496,0,0,101,214398,92,195293,MTX
MTX,2026-05-22,外資,146874,306675139,147686,308281665,4546,9650076,1754,3725405,MTX
MTX,2026-05-23,自營商,15967,33447167,15390,32208164,3382,7196230,10312,21929282,MTX
MTX,2026-05-23,投信,4,8496,0,0,101,214398,92,195293,MTX
MTX,2026-05-23,外資,146874,306675139,147686,308281665,4546,9650076,1754,3725405,MTX
MTX,2026-05-24,自營商,15967,33447167,15390,32208164,3382,7196230,10312,21929282,MTX
MTX,2026-05-24,投信,4,8496,0,0,101,214398,92,195293,MTX
MTX,2026-05-24,外資,146874,306675139,147686,308281665,4546,9650076,1754,3725405,MTX
MTX,2026-05-25,自營商,12068,26074384,13538,29289080,3355,7376313,11755,25827253,MTX
MTX,2026-05-25,投信,6,13166,0,0,101,221544,86,188641,MTX
MTX,2026-05-25,外資,116049,250478629,118087,254821240,4160,9124901,3650,8008923,MTX
MTX,2026-06-08,自營商,23215,50435598,22526,49079457,2048,4448878,15895,34333081,MTX
MTX,2026-06-08,投信,0,0,9,19402,90,193874,91,196028,MTX
MTX,2026-06-08,外資,274666,599320877,269700,588944750,5026,10826828,1168,2522445,MTX
MTX,2026-06-09,自營商,13207,29122962,13694,30212035,2281,5131938,16291,36478593,MTX
MTX,2026-06-09,投信,5,11181,0,0,90,201047,86,192111,MTX
MTX,2026-06-09,外資,178622,393407139,174249,383759461,4833,10796667,1079,2415613,MTX
MTX,2026-06-10,自營商,28239,61936446,28985,63572191,1834,4017216,15467,33634690,MTX
MTX,2026-06-10,投信,4,8703,8,17365,92,199493,92,199488,MTX
MTX,2026-06-10,外資,287476,630967094,284447,624485305,7823,16963030,1125,2445578,MTX
MTX,2026-06-11,自營商,25339,54545230,26896,57921339,1831,3994598,17051,36937939,MTX
MTX,2026-06-11,投信,92,198740,92,199001,92,198815,92,199134,MTX
MTX,2026-06-11,外資,308138,663351644,309879,667268342,5855,12652731,925,2004047,MTX
