date,stock_id,type,value,origin_name
2026-03-31,3209,EPS,1.52,基本每股盈餘
2026-03-31,3209,Revenue,17067413000.0,營業收入
2026-03-31,3211,EPS,2.05,基本每股盈餘
2026-03-31,3211,Revenue,3344523000.0,營業收入
2026-03-31,3228,EPS,-0.55,基本每股盈餘
2026-03-31,3228,Revenue,75858000.0,營業收入
2026-03-31,3231,EPS,3.06,基本每股盈餘
2026-03-31,3231,Revenue,846303026000.0,營業收入
2026-03-31,3260,EPS,30.05,基本每股盈餘
2026-03-31,3260,Revenue,26099523000.0,營業收入
2026-03-31,3376,EPS,0.15,基本每股盈餘
2026-03-31,3376,Revenue,2352701000.0,營業收入
2026-03-31,3406,EPS,7.9,基本每股盈餘
2026-03-31,3406,Revenue,6140741000.0,營業收入
2026-03-31,3443,EPS,12.28,基本每股盈餘
2026-03-31,3443,Revenue,11447812000.0,營業收入
2026-03-31,3481,EPS,0.2,基本每股盈餘
2026-03-31,3481,Revenue,66644538000.0,營業收入
2026-03-31,3494,EPS,-0.29,基本每股盈餘
2026-03-31,3494,Revenue,248180000.0,營業收入
2026-03-31,3515,EPS,4.14,基本每股盈餘
2026-03-31,3515,Revenue,13366639000.0,營業收入
2026-03-31,3518,EPS,2.81,基本每股盈餘
2026-03-31,3518,Revenue,62020000.0,營業收入
2026-03-31,3530,EPS,0.44,基本每股盈餘
2026-03-31,3530,Revenue,541943000.0,營業收入
2026-03-31,3532,EPS,-0.18,基本每股盈餘
2026-03-31,3532,Revenue,3308768000.0,營業收入
2026-03-31,3533,EPS,21.37,基本每股盈餘
2026-03-31,3533,Revenue,9327579000.0,營業收入
2026-03-31,3548,EPS,-1.35,基本每股盈餘
2026-03-31,3548,Revenue,1693588000.0,營業收入
2026-03-31,3576,EPS,1.07,基本每股盈餘
2026-03-31,3576,Revenue,520029000.0,營業收入
2026-03-31,3583,Revenue,3120325000.0,營業收入
2026-03-31,3583,EPS,4.14,基本每股盈餘
2026-03-31,3593,EPS,-0.7,基本每股盈餘
2026-03-31,3593,Revenue,132981000.0,營業收入
2026-03-31,3596,EPS,3.12,基本每股盈餘
2026-03-31,3596,Revenue,12784117000.0,營業收入
2026-03-31,3597,EPS,0.08,基本每股盈餘
2026-03-31,3597,Revenue,198150000.0,營業收入
2026-03-31,3653,Revenue,5305216000.0,營業收入
2026-03-31,3653,EPS,9.53,基本每股盈餘
2026-03-31,3661,EPS,17.55,基本每股盈餘
2026-03-31,3661,Revenue,4186855000.0,營業收入
2026-03-31,3691,EPS,2.97,基本每股盈餘
2026-03-31,3691,Revenue,2506700000.0,營業收入
2026-03-31,3706,EPS,1.1,基本每股盈餘
2026-03-31,3706,Revenue,31863922000.0,營業收入
2026-03-31,3707,Revenue,1534730000.0,營業收入
2026-03-31,3707,EPS,-0.35,基本每股盈餘
2026-03-31,3711,EPS,3.24,基本每股盈餘
2026-03-31,3711,Revenue,173662152000.0,營業收入
2026-03-31,4106,EPS,0.46,基本每股盈餘
2026-03-31,4106,Revenue,583212000.0,營業收入
2026-03-31,4108,EPS,-0.08,基本每股盈餘
2026-03-31,4108,Revenue,34519000.0,營業收入
2026-03-31,4119,EPS,0.17,基本每股盈餘
2026-03-31,4119,Revenue,375798000.0,營業收入
2026-03-31,4121,EPS,-0.11,基本每股盈餘
2026-03-31,4121,Revenue,938310000.0,營業收入
2026-03-31,4123,EPS,2.62,基本每股盈餘
2026-03-31,4123,Revenue,465976000.0,營業收入
2026-03-31,4126,EPS,1.44,基本每股盈餘
2026-03-31,4126,Revenue,581571000.0,營業收入
2026-03-31,4128,EPS,-0.31,基本每股盈餘
2026-03-31,4128,Revenue,501633000.0,營業收入
2026-03-31,4130,EPS,-0.09,基本每股盈餘
2026-03-31,4130,Revenue,110383000.0,營業收入
2026-03-31,4133,EPS,0.28,基本每股盈餘
2026-03-31,4133,Revenue,87906000.0,營業收入
2026-03-31,4142,EPS,-0.44,基本每股盈餘
2026-03-31,4142,Revenue,82316000.0,營業收入
2026-03-31,4147,EPS,0.06,基本每股盈餘
2026-03-31,4147,Revenue,166081000.0,營業收入
2026-03-31,4148,EPS,0.08,基本每股盈餘
2026-03-31,4148,Revenue,527663000.0,營業收入
2026-03-31,4162,EPS,0.96,基本每股盈餘
2026-03-31,4162,Revenue,239795000.0,營業收入
2026-03-31,4174,EPS,-3.35,基本每股盈餘
2026-03-31,4174,Revenue,5564000.0,營業收入
2026-03-31,4743,Revenue,36618000.0,營業收入
2026-03-31,4743,EPS,-0.31,基本每股盈餘
2026-03-31,4904,Revenue,27804510000.0,營業收入
2026-03-31,4904,EPS,1.03,基本每股盈餘
2026-03-31,4906,EPS,-0.32,基本每股盈餘
2026-03-31,4906,Revenue,3112326000.0,營業收入
2026-03-31,4919,Revenue,7987921000.0,營業收入
2026-03-31,4919,EPS,0.02,基本每股盈餘
2026-03-31,4938,EPS,0.58,基本每股盈餘
2026-03-31,4938,Revenue,244105400000.0,營業收入
2026-03-31,4958,EPS,1.33,基本每股盈餘
2026-03-31,4958,Revenue,40728186000.0,營業收入
2026-03-31,4960,EPS,-0.27,基本每股盈餘
2026-03-31,4960,Revenue,1822834000.0,營業收入
2026-03-31,4961,EPS,1.86,基本每股盈餘
2026-03-31,4961,Revenue,4501219000.0,營業收入
2026-03-31,4966,Revenue,3989734000.0,營業收入
2026-03-31,4966,EPS,6.77,基本每股盈餘
2026-03-31,4968,EPS,0.58,基本每股盈餘
2026-03-31,4968,Revenue,930198000.0,營業收入
2026-03-31,5009,EPS,0.5,基本每股盈餘
2026-03-31,5009,Revenue,2877277000.0,營業收入
2026-03-31,5269,EPS,24.85,基本每股盈餘
2026-03-31,5269,Revenue,3497963000.0,營業收入
2026-03-31,5274,EPS,37.41,基本每股盈餘
2026-03-31,5274,Revenue,3146757000.0,營業收入
2026-03-31,5347,EPS,1.22,基本每股盈餘
2026-03-31,5347,Revenue,12531629000.0,營業收入
2026-03-31,5371,EPS,-0.3,基本每股盈餘
2026-03-31,5371,Revenue,9361901000.0,營業收入
2026-03-31,5483,EPS,1.83,基本每股盈餘
2026-03-31,5483,Revenue,19381793000.0,營業收入
2026-03-31,5522,EPS,1.76,基本每股盈餘
2026-03-31,5522,Revenue,5663127000.0,營業收入
2026-03-31,5533,EPS,0.16,基本每股盈餘
2026-03-31,5533,Revenue,342424000.0,營業收入
2026-03-31,5536,EPS,12.76,基本每股盈餘
2026-03-31,5536,Revenue,11603182000.0,營業收入
2026-03-31,5546,EPS,-0.28,基本每股盈餘
2026-03-31,5546,Revenue,198123000.0,營業收入
2026-03-31,5878,Revenue,222431000.0,營業收入
2026-03-31,5903,EPS,1.23,基本每股盈餘
2026-03-31,5903,Revenue,27757742000.0,營業收入
2026-03-31,5904,EPS,9.3,基本每股盈餘
2026-03-31,5904,Revenue,7094656000.0,營業收入
2026-03-31,6005,EPS,1.34,基本每股盈餘
2026-03-31,6120,EPS,-0.15,基本每股盈餘
2026-03-31,6120,Revenue,4526331000.0,營業收入
2026-03-31,6146,EPS,2.97,基本每股盈餘
2026-03-31,6146,Revenue,1191315000.0,營業收入
2026-03-31,6147,EPS,0.59,基本每股盈餘
2026-03-31,6147,Revenue,5755687000.0,營業收入
2026-03-31,6214,EPS,2.64,基本每股盈餘
2026-03-31,6214,Revenue,11968686000.0,營業收入
2026-03-31,6227,EPS,3.0,基本每股盈餘
2026-03-31,6227,Revenue,4844098000.0,營業收入
2026-03-31,6230,EPS,-0.91,基本每股盈餘
2026-03-31,6230,Revenue,2221271000.0,營業收入
2026-03-31,6239,EPS,2.5,基本每股盈餘
2026-03-31,6239,Revenue,21314167000.0,營業收入
2026-03-31,6244,EPS,0.12,基本每股盈餘
2026-03-31,6244,Revenue,761537000.0,營業收入
2026-03-31,6257,EPS,2.1,基本每股盈餘
2026-03-31,6257,Revenue,5293776000.0,營業收入
2026-03-31,6269,EPS,-2.6,基本每股盈餘
2026-03-31,6269,Revenue,5467013000.0,營業收入
2026-03-31,6271,EPS,1.89,基本每股盈餘
2026-03-31,6271,Revenue,2819237000.0,營業收入
2026-03-31,6274,EPS,4.36,基本每股盈餘
2026-03-31,6274,Revenue,10053966000.0,營業收入
2026-03-31,6277,EPS,1.08,基本每股盈餘
2026-03-31,6277,Revenue,1293181000.0,營業收入
2026-03-31,6278,EPS,2.17,基本每股盈餘
2026-03-31,6278,Revenue,12555084000.0,營業收入
2026-03-31,6285,EPS,2.36,基本每股盈餘
2026-03-31,6285,Revenue,29156181000.0,營業收入
2026-03-31,6409,Revenue,4204594000.0,營業收入
2026-03-31,6409,EPS,4.46,基本每股盈餘
2026-03-31,6415,EPS,1.98,基本每股盈餘
2026-03-31,6415,Revenue,4860017000.0,營業收入
2026-03-31,6442,EPS,7.82,基本每股盈餘
2026-03-31,6442,Revenue,2705681000.0,營業收入
2026-03-31,6446,Revenue,5121378000.0,營業收入
2026-03-31,6446,EPS,5.79,基本每股盈餘
2026-03-31,6456,Revenue,16077548000.0,營業收入
2026-03-31,6456,EPS,-0.61,基本每股盈餘
2026-03-31,6461,EPS,-0.63,基本每股盈餘
2026-03-31,6461,Revenue,17616000.0,營業收入
2026-03-31,6488,Revenue,13984798000.0,營業收入
2026-03-31,6488,EPS,3.97,基本每股盈餘
2026-03-31,6505,EPS,2.14,基本每股盈餘
2026-03-31,6505,Revenue,161989437000.0,營業收入
2026-03-31,6510,EPS,10.43,基本每股盈餘
2026-03-31,6510,Revenue,1357386000.0,營業收入
2026-03-31,6523,Revenue,276348000.0,營業收入
2026-03-31,6523,EPS,1.88,基本每股盈餘
